Category,Country,Continent,Year,Usage,FossilType,Measurement,Latitude,Longitude,iso_alpha
Coal Consumption,Finland,Europe,1965,0.072935354,Coal,Exajoules,61.92411,25.748151,FIN
Coal Consumption,France,Europe,1965,1.732087585,Coal,Exajoules,46.227638,2.213749,FRA
Coal Consumption,Germany,Europe,1965,6.730115535,Coal,Exajoules,51.165691,10.451526,DEU
Coal Consumption,Greece,Europe,1965,0.088215876,Coal,Exajoules,39.074208,21.824312,GRC
Coal Consumption,Hungary,Europe,1965,0.45677988,Coal,Exajoules,47.162494,19.503304,HUN
Coal Consumption,Iceland,Europe,1965,0.000273675,Coal,Exajoules,64.963051,-19.020835,ISL
Coal Consumption,Ireland,Europe,1965,0.130879368,Coal,Exajoules,53.41291,-8.24389,IRL
Coal Consumption,Italy,Europe,1965,0.361153368,Coal,Exajoules,41.87194,12.56738,ITA
Coal Consumption,Luxembourg,Europe,1965,0.114178223,Coal,Exajoules,49.61682412,6.124983395,LUX
Coal Consumption,Netherlands,Europe,1965,0.371,Coal,Exajoules,52.132633,5.291266,NLD
Coal Consumption,Norway,Europe,1965,0.031958724,Coal,Exajoules,60.472024,8.468946,NOR
Coal Consumption,Poland,Europe,1965,2.490350508,Coal,Exajoules,51.919438,19.145136,POL
Coal Consumption,Portugal,Europe,1965,0.024785856,Coal,Exajoules,39.399872,-8.224454,PRT
Coal Consumption,Romania,Europe,1965,0.182528833,Coal,Exajoules,45.943161,24.96676,ROU
Coal Consumption,Slovakia,Europe,1965,0.252829998,Coal,Exajoules,48.17856255,-17.37553815,SVK
Coal Consumption,Spain,Europe,1965,0.4061196,Coal,Exajoules,40.463667,-3.74922,ESP
Coal Consumption,Sweden,Europe,1965,0.093337379,Coal,Exajoules,60.128161,18.643501,SWE
Coal Consumption,Switzerland,Europe,1965,0.0534,Coal,Exajoules,46.818188,8.227512,CHE
Coal Consumption,Turkey,Europe,1965,0.15365556,Coal,Exajoules,38.963745,35.243322,TUR
Coal Consumption,United Kingdom,Europe,1965,4.915177596,Coal,Exajoules,55.378051,-3.435973,GBR
Coal Consumption,Iran,Middle East,1965,0.008834148,Coal,Exajoules,32.427908,53.688046,IRN
Coal Consumption,Algeria,Africa,1965,0.00293076,Coal,Exajoules,28.033886,1.659626,DZA
Coal Consumption,Egypt,Africa,1965,0.016872804,Coal,Exajoules,26.820553,30.802498,EGY
