Country,Consumption,Latitude,Longitude,iso_alpha,Continent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,Oil Consumption,46.227638,2.213749,FRA,Total Europe,2.29428517,2.459242879,2.825243899,3.061553918,3.537603052,4.018791149,4.380294922,4.863445764,5.421692133,5.151555742,4.708350348,5.093221889,4.891746188,5.097789228,5.071111326,4.712449064,4.254253842,3.939826644,3.845417285,3.707660937,3.646232986,3.719752505,3.744996342,3.722473009,3.822025995,3.879531768,4.108434848,4.102083852,3.953567888,3.823326841,3.854509145,3.935070462,3.96400963,4.108009721,4.165806764,4.100334605,4.12044361,4.006731212,4.013716926,4.049467649,3.993401264,3.981986619,3.881581715,3.806793611,3.655214866,3.529652898,3.45380199,3.337807041,3.294460631,3.187632933,3.187558184,3.165612875,3.179040544,3.169654343,3.144029083,2.677895918
Germany,Oil Consumption,51.165691,10.451526,DEU,Total Europe,3.674051199,4.110595753,4.27471783,4.792041839,5.388990244,5.918653213,6.165114354,6.508139147,6.937732822,6.294687266,6.113988233,6.605830722,6.52451588,6.805001186,7.019830766,6.351637798,5.76498385,5.449887267,5.33681315,5.319205203,5.48186856,5.775194443,5.623228133,5.626487186,5.286178774,5.534255504,5.787412692,5.837958406,5.928742163,5.875101952,5.872066305,5.971960819,5.936137586,5.942581888,5.76398614,5.65356528,5.72746824,5.536007863,5.427781434,5.365764486,5.256207367,5.246053838,4.750050811,5.036649643,4.823418124,4.887519371,4.727774966,4.699401438,4.80334462,4.673944952,4.667552148,4.763947421,4.86735457,4.632057406,4.661052275,4.208902744
Greece,Oil Consumption,39.074208,21.824312,GRC,Total Europe,0.18818362,0.205475704,0.241606196,0.247294999,0.263138923,0.285002692,0.314846604,0.364727585,0.42451275,0.398383371,0.422093002,0.449252625,0.457707517,0.498372066,0.527131649,0.521902041,0.50703114,0.509438868,0.48887196,0.500986925,0.509333697,0.516895302,0.561462164,0.579863398,0.638828495,0.672273179,0.685995332,0.700281327,0.714643351,0.730955689,0.762526328,0.791569966,0.799410675,0.836925019,0.817241437,0.850495173,0.862454537,0.866608839,0.909900633,0.891821111,0.896728569,0.937763423,0.948385926,0.909257408,0.852511803,0.772988951,0.736480441,0.641993189,0.593141717,0.588161507,0.612715812,0.611701045,0.626375489,0.619103064,0.638001271,0.512062513
Hungary,Oil Consumption,47.162494,19.503304,HUN,Total Europe,0.15938313,0.17505437,0.1852189,0.19411396,0.21713019,0.2521931,0.284138245,0.309576181,0.348307938,0.381319189,0.430169361,0.450634427,0.479127691,0.529967192,0.499355295,0.485426566,0.463833143,0.43938046,0.416629948,0.436287616,0.444361528,0.410405832,0.430242716,0.398326006,0.386088475,0.390039572,0.333747367,0.35562929,0.324181859,0.336542636,0.320603967,0.295944571,0.302692095,0.321194819,0.304339402,0.294982732,0.284754053,0.277692821,0.260178667,0.276510426,0.318935053,0.337037878,0.335790452,0.319027282,0.302875495,0.284038618,0.277066127,0.259464801,0.255501578,0.282508496,0.302636787,0.304045155,0.325794495,0.349421738,0.353082901,0.327995288
Iceland,Oil Consumption,64.963051,-19.020835,ISL,Total Europe,0.020204877,0.021784173,0.021137553,0.022569527,0.0206982,0.021152286,0.023038919,0.024684932,0.028583009,0.026676096,0.025057477,0.025175079,0.026329134,0.027743776,0.026937947,0.025063744,0.024462949,0.02235602,0.021721402,0.02266513,0.022588373,0.022913171,0.024778778,0.025903459,0.027708673,0.028249994,0.026524861,0.0285853,0.02965846,0.030046533,0.030228599,0.033775179,0.03314558,0.033958921,0.033901232,0.034554757,0.032428293,0.033733064,0.03409542,0.035665106,0.03632232,0.03693093,0.037050191,0.034304204,0.031798386,0.030453415,0.030041744,0.02971808,0.031059256,0.032483006,0.035439977,0.039033464,0.043578223,0.047186935,0.039953065,0.030133953
Ireland,Oil Consumption,53.41291,-8.24389,IRL,Total Europe,0.10267979,0.114773583,0.128504488,0.142934461,0.155352366,0.174334963,0.192575467,0.211984108,0.229720737,0.227510334,0.222534532,0.226016945,0.241042572,0.258816792,0.271662673,0.244698082,0.217383442,0.190288497,0.17281637,0.169945948,0.16948107,0.209226672,0.183632821,0.166496596,0.171304045,0.190374426,0.208972014,0.218691317,0.221592291,0.241717058,0.246280752,0.259296292,0.281664125,0.315612418,0.357290613,0.355505386,0.383071301,0.375600655,0.36582868,0.379042042,0.398979686,0.3984404,0.404179446,0.385706936,0.339967568,0.323433307,0.300236721,0.284574749,0.285462403,0.282382695,0.296615561,0.310136065,0.308061288,0.320247447,0.316697739,0.266147076
Italy,Oil Consumption,41.87194,12.56738,ITA,Total Europe,2.198657814,2.424364863,2.683313612,2.958675598,3.258973068,3.686613041,3.964934308,4.162505854,4.381269781,4.262680779,4.003465807,4.183599175,4.068319593,4.272032464,4.413400423,4.189972493,4.09944503,3.89270279,3.792371186,3.618316698,3.599583229,3.685811211,3.84331888,3.912089349,4.025236124,4.059114568,4.084280944,4.141410253,4.03126656,4.018030413,4.154233188,4.082643617,4.122498729,4.11105097,4.077092349,4.048929807,3.969372093,3.983139735,3.945157808,3.860712327,3.742079932,3.737438207,3.620562928,3.407801896,3.153569645,3.072208303,2.983970304,2.779969332,2.543329368,2.416604422,2.557598881,2.537243677,2.569301642,2.629181321,2.55258728,2.133521087
Latvia,Oil Consumption,56.98600629,-25.98243782,LVA,Total Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244556597,0.205813114,0.167305354,0.150015904,0.149962513,0.141286273,0.136990512,0.10478229,0.093651776,0.088747108,0.079868379,0.084036576,0.074614141,0.071262915,0.066374387,0.054501031,0.063577396,0.063130578,0.063719715,0.068392012,0.072412567,0.0681619,0.0740341,0.072678198,0.066223311,0.074662276,0.068537075,0.068437326,0.06917234,0.069556287,0.073012342,0.075305272,0.076920537,0.071618213,0.079268347,0.071372769
Lithuania,Oil Consumption,55.56514803,-23.92632337,LTU,Total Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368574951,0.308400084,0.338423622,0.325410427,0.333856957,0.31912608,0.351026842,0.184479663,0.16048195,0.148794671,0.134981344,0.140088593,0.138764313,0.159183853,0.131060678,0.101018775,0.116315723,0.107683653,0.103124958,0.110513439,0.117952786,0.11866828,0.116862453,0.127222586,0.10906446,0.112402061,0.10865242,0.111301892,0.108162057,0.105984497,0.115867893,0.125987709,0.131038159,0.138236285,0.138040755,0.129361953
Luxembourg,Oil Consumption,49.61682412,6.124983395,LUX,Total Europe,0.035396509,0.040282462,0.044488958,0.049109884,0.054376347,0.057683847,0.060052555,0.06306088,0.070073803,0.063017053,0.056203595,0.060865985,0.059876398,0.060299883,0.055890781,0.046757626,0.044934756,0.04444752,0.042330845,0.042405673,0.04506434,0.049088054,0.055642459,0.057116731,0.062771704,0.068850784,0.080219266,0.082557899,0.082326097,0.082232786,0.077079121,0.079835488,0.083372059,0.086727705,0.092661932,0.099398888,0.105519518,0.10752772,0.115440662,0.130936986,0.13448397,0.127880388,0.124470114,0.125457519,0.117450168,0.123001961,0.125602376,0.12120017,0.119187594,0.114888151,0.112892797,0.112751497,0.117968478,0.124807125,0.126219513,0.099240703
